Longbridge Ward,E05001194
Lozells and East Handsworth Ward,E05001195
Moseley and Kings Heath Ward,E05001196
Nechells Ward,E05001197
Northfield Ward,E05001198
Oscott Ward,E05001199
Perry Barr Ward,E05001200
Quinton Ward,E05001201
Selly Oak Ward,E05001202
Shard End Ward,E05001203
Sheldon Ward,E05001204
Soho Ward,E05001205
South Yardley Ward,E05001206
Sparkbrook Ward,E05001207
Springfield Ward,E05001208
Stechford and Yardley North Ward,E05001209
Stockland Green Ward,E05001210
Sutton Four Oaks Ward,E05001211
Sutton New Hall Ward,E05001212
Sutton Trinity Ward,E05001213
Sutton Vesey Ward,E05001214
Tyburn Ward,E05001215
Washwood Heath Ward,E05001216
Weoley Ward,E05001217
Bablake Ward,E05001218
Binley and Willenhall Ward,E05001219
Cheylesmore Ward,E05001220
Earlsdon Ward,E05001221
Foleshill Ward,E05001222
Henley Ward,E05001223
Holbrook Ward,E05001224
Longford Ward,E05001225
Lower Stoke Ward,E05001226
Radford Ward,E05001227
St. Michael's Ward,E05001228
Sherbourne Ward,E05001229
Upper Stoke Ward,E05001230
Wainbody Ward,E05001231
Westwood Ward,E05001232
Whoberley Ward,E05001233
Woodlands Ward,E05001234
Wyken Ward,E05001235
Amblecote Ward,E05001236
Belle Vale Ward,E05001237
Brierley Hill Ward,E05001238
Brockmoor and Pensnett Ward,E05001239
Castle and Priory Ward,E05001240
Coseley East Ward,E05001241
Cradley and Wollescote Ward,E05001242
Gornal Ward,E05001243
Halesowen North Ward,E05001244
Halesowen South Ward,E05001245
Hayley Green and Cradley South Ward,E05001246
Kingswinford North and Wall Heath Ward,E05001247
Kingswinford South Ward,E05001248
Lye and Stourbridge North Ward,E05001249
"Netherton, Woodside and St. Andrews Ward",E05001250
Norton Ward,E05001251
Pedmore and Stourbridge East Ward,E05001252
Quarry Bank and Dudley Wood Ward,E05001253
St. James's Ward,E05001254
St. Thomas's Ward,E05001255
Sedgley Ward,E05001256
Upper Gornal and Woodsetton Ward,E05001257
Wollaston and Stourbridge Town Ward,E05001258
Wordsley Ward,E05001259
Abbey Ward,E05001260
Blackheath Ward,E05001261
Bristnall Ward,E05001262
Charlemont with Grove Vale Ward,E05001263
Cradley Heath and Old Hill Ward,E05001264
Friar Park Ward,E05001265
Great Barr with Yew Tree Ward,E05001266
Great Bridge Ward,E05001267
Greets Green and Lyng Ward,E05001268
Hateley Heath Ward,E05001269
Langley Ward,E05001270
Newton Ward,E05001271
Old Warley Ward,E05001272
Oldbury Ward,E05001273
Princes End Ward,E05001274
Rowley Ward,E05001275
St. Pauls Ward,E05001276
Smethwick Ward,E05001277
Soho and Victoria Ward,E05001278
Tipton Green Ward,E05001279
Tividale Ward,E05001280
Wednesbury North Ward,E05001281
Wednesbury South Ward,E05001282
West Bromwich Central Ward,E05001283
Bickenhill Ward,E05001284
Blythe Ward,E05001285
Castle Bromwich Ward,E05001286
Chelmsley Wood Ward,E05001287
Dorridge and Hockley Heath Ward,E05001288
Elmdon Ward,E05001289
Kingshurst and Fordbridge Ward,E05001290
Knowle Ward,E05001291
Lyndon Ward,E05001292
Meriden Ward,E05001293
Olton Ward,E05001294
St. Alphege Ward,E05001295
Shirley East Ward,E05001296
Shirley South Ward,E05001297
Shirley West Ward,E05001298
Silhill Ward,E05001299
Smith's Wood Ward,E05001300
Aldridge Central and South Ward,E05001301
Aldridge North and Walsall Wood Ward,E05001302
Bentley and Darlaston North Ward,E05001303
Birchills Leamore Ward,E05001304
Blakenall Ward,E05001305
Bloxwich East Ward,E05001306
Bloxwich West Ward,E05001307
Brownhills Ward,E05001308
Darlaston South Ward,E05001309
Paddock Ward,E05001310
Palfrey Ward,E05001311
Pelsall Ward,E05001312
Pheasey Park Farm Ward,E05001313
Pleck Ward,E05001314
Rushall-Shelfield Ward,E05001315
St. Matthew's Ward,E05001316
Short Heath Ward,E05001317
Streetly Ward,E05001318
Willenhall North Ward,E05001319
Willenhall South Ward,E05001320
Bilston East Ward,E05001321
Bilston North Ward,E05001322
Blakenhall Ward,E05001323
Bushbury North Ward,E05001324
Bushbury South and Low Hill Ward,E05001325
East Park Ward,E05001326
Ettingshall Ward,E05001327
Fallings Park Ward,E05001328
Graiseley Ward,E05001329
Heath Town Ward,E05001330
Merry Hill Ward,E05001331
Oxley Ward,E05001332
Park Ward,E05001333
Penn Ward,E05001334
St. Peter's Ward,E05001335
Spring Vale Ward,E05001336
Tettenhall Regis Ward,E05001337
Tettenhall Wightwick Ward,E05001338
